"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.cpp", "C++", 51, 4, 19, 74
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.h", "C++", 1, 0, 0, 1
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.cpp", "C++", 50, 3, 26, 79
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.h", "C++", 5, 0, 1, 6
"/home/plato/mipt_projs/veclan/src/lex_generator/rec_descent.cpp", "C++", 1, 0, 0, 1
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.cpp", "C++", 6, 1, 4, 11
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.h", "C++", 4, 0, 1, 5
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.h", "C++", 5, 0, 2, 7
"Total", "-", 123, 8, 53, 184
