"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.cpp", "C++", 453, 0, 54, 223, 730
"/home/plato/mipt_projs/veclan/src/lex_generator/lex_graph.h", "C++", 36, 0, 2, 13, 51
"/home/plato/mipt_projs/veclan/src/lex_generator/logger.cpp", "C++", 223, 0, 35, 116, 374
"/home/plato/mipt_projs/veclan/src/lex_generator/logger.h", "C++", 76, 0, 19, 28, 123
"/home/plato/mipt_projs/veclan/src/lex_generator/main.cpp", "C++", 20, 0, 6, 11, 37
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.cpp", "C++", 340, 0, 93, 172, 605
"/home/plato/mipt_projs/veclan/src/lex_generator/parser.h", "C++", 35, 0, 1, 15, 51
"/home/plato/mipt_projs/veclan/src/lex_generator/rec_descent.cpp", "C++", 224, 0, 99, 102, 425
"/home/plato/mipt_projs/veclan/src/lex_generator/rec_descent.h", "C++", 15, 0, 0, 8, 23
"/home/plato/mipt_projs/veclan/src/lex_generator/spec_constants.h", "C++", 22, 0, 1, 9, 32
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/node.cpp", "C++", 219, 0, 44, 119, 382
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/node.h", "C++", 53, 0, 56, 29, 138
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/set.cpp", "C++", 100, 0, 16, 47, 163
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/set.h", "C++", 19, 0, 9, 15, 43
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/stack.cpp", "C++", 261, 0, 86, 132, 479
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/stack.h", "C++", 110, 0, 3, 34, 147
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.cpp", "C++", 64, 0, 17, 50, 131
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/string_storage.h", "C++", 20, 0, 0, 7, 27
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/text_storage.cpp", "C++", 315, 0, 50, 180, 545
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/text_storage.h", "C++", 57, 0, 46, 22, 125
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/trash.c", "C", 0, 25, 0, 14, 39
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vec_set.cpp", "C++", 67, 0, 11, 43, 121
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vec_set.h", "C++", 18, 0, 1, 5, 24
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.cpp", "C++", 88, 0, 17, 53, 158
"/home/plato/mipt_projs/veclan/src/lex_generator/structs/vector.h", "C++", 27, 0, 38, 19, 84
"Total", "-", 2862, 25, 704, 1466, 5057
